Month,Day,Hour,Sensor_id,x,y,value
4,21,12,1,0,280,325.020503
4,21,12,2,0,260,480.082833
4,21,12,3,0,240,507.229973
4,21,12,4,0,220,464.93997
4,21,12,5,0,200,422.362135
4,21,12,6,0,180,384.220815
4,21,12,7,0,160,310.960411
4,21,12,8,0,140,277.72566
4,21,12,9,0,120,232.931805
4,21,12,10,0,100,204.93531
4,21,12,11,0,80,179.876205
4,21,12,12,0,60,139.0880478
4,21,12,13,0,40,134.6113294
4,21,12,14,0,20,119.4780608
4,21,12,15,0,0,109.3715239
4,21,12,16,20,280,398.87286
4,21,12,17,20,260,583.745492
4,21,12,18,20,240,587.798768
4,21,12,19,20,220,537.39738
4,21,12,20,20,200,455.025876
4,21,12,21,20,180,432.789064
4,21,12,22,20,160,340.759794
4,21,12,23,20,140,278.919948
4,21,12,24,20,120,269.426325
4,21,12,25,20,100,206.321665
4,21,12,26,20,80,197.07184
4,21,12,27,20,60,159.2909186
4,21,12,28,20,40,143.4476286
4,21,12,29,20,20,128.0700787
4,21,12,30,20,0,131.9466817
4,21,12,31,40,280,434.907887
4,21,12,32,40,260,634.903871
4,21,12,33,40,240,637.576699
4,21,12,34,40,220,602.758693
4,21,12,35,40,200,530.659283
4,21,12,36,40,180,421.930924
4,21,12,37,40,160,341.113319
4,21,12,38,40,140,269.582771
4,21,12,39,40,120,242.83319
4,21,12,40,40,100,198.441727
4,21,12,41,40,80,183.188779
4,21,12,42,40,60,176.0869361
4,21,12,43,40,40,123.9291285
4,21,12,44,40,20,109.6891594
4,21,12,45,40,0,129.9592089
4,21,12,46,60,280,437.819859
4,21,12,47,60,260,647.147471
4,21,12,48,60,240,665.575521
4,21,12,49,60,220,609.180497
4,21,12,50,60,200,530.64729
4,21,12,51,60,180,438.397671
4,21,12,52,60,160,366.947494
4,21,12,53,60,140,335.40662
4,21,12,54,60,120,261.645732
4,21,12,55,60,100,217.481778
4,21,12,56,60,80,186.096276
4,21,12,57,60,60,163.0666193
4,21,12,58,60,40,136.2533859
4,21,12,59,60,20,153.7375689
4,21,12,60,60,0,124.6782435
4,21,12,61,80,280,453.12776
4,21,12,62,80,260,661.804349
4,21,12,63,80,240,672.376626
4,21,12,64,80,220,611.304869
4,21,12,65,80,200,511.801633
4,21,12,66,80,180,471.985947
4,21,12,67,80,160,376.972747
4,21,12,68,80,140,306.192388
4,21,12,69,80,120,271.093352
4,21,12,70,80,100,219.508416
4,21,12,71,80,80,179.37948
4,21,12,72,80,60,167.7343307
4,21,12,73,80,40,174.1907175
4,21,12,74,80,20,128.0796194
4,21,12,75,80,0,125.669277
4,21,12,76,100,280,436.548243
4,21,12,77,100,260,623.727648
4,21,12,78,100,240,661.597246
4,21,12,79,100,220,601.183672
4,21,12,80,100,200,501.740043
4,21,12,81,100,180,445.253013
4,21,12,82,100,160,370.300164
4,21,12,83,100,140,299.699879
4,21,12,84,100,120,257.783091
4,21,12,85,100,100,215.911769
4,21,12,86,100,80,195.381901
4,21,12,87,100,60,147.7509855
4,21,12,88,100,40,132.7337805
4,21,12,89,100,20,130.8908144
4,21,12,90,100,0,130.5978093
4,21,12,91,120,280,399.791846
4,21,12,92,120,260,592.6153
4,21,12,93,120,240,614.935884
4,21,12,94,120,220,540.197656
4,21,12,95,120,200,466.608071
4,21,12,96,120,180,409.299968
4,21,12,97,120,160,332.985108
4,21,12,98,120,140,297.405636
4,21,12,99,120,120,255.433537
4,21,12,100,120,100,214.922794
4,21,12,101,120,80,167.6543356
4,21,12,102,120,60,159.523547
4,21,12,103,120,40,132.7194605
4,21,12,104,120,20,134.4486721
4,21,12,105,120,0,131.3046982
4,21,12,106,140,280,338.911619
4,21,12,107,140,260,471.79388
4,21,12,108,140,240,519.318738
4,21,12,109,140,220,464.54259
4,21,12,110,140,200,403.424651
4,21,12,111,140,180,341.718339
4,21,12,112,140,160,295.733776
4,21,12,113,140,140,262.075869
4,21,12,114,140,120,233.213372
4,21,12,115,140,100,176.4900441
4,21,12,116,140,80,157.4349392
4,21,12,117,140,60,165.3659817
4,21,12,118,140,40,130.7382885
4,21,12,119,140,20,117.3062538
4,21,12,119,140,0,123.4732155
